Movie_Name,Year,Genre,Director,RunTime,Rating,Metascore,Review_url,NumofVotes
Dallas Buyers Club,2013,Biography ,Jean-Marc Vallée,117 min,8,80,https://imdb.com/title/tt0790636/reviews,448540
42,2013,Biography  Sport,Brian Helgeland,128 min,7.5,62,https://imdb.com/title/tt0453562/reviews,87852
Extremely Wicked Shockingly Evil and Vile,2019,Biography Crime ,Joe Berlinger,110 min,6.7,52,https://imdb.com/title/tt2481498/reviews,81638
Lincoln,2012,Biography  History,Steven Spielberg,150 min,7.3,86,https://imdb.com/title/tt0443272/reviews,247254
Dark Waters,2019,Biography  History,Todd Haynes,126 min,7.6,73,https://imdb.com/title/tt9071322/reviews,66190
Vice,2018,Biography Comedy ,Adam McKay,132 min,7.2,61,https://imdb.com/title/tt6266538/reviews,126805
In Cold Blood,1967,Biography Crime ,Richard Brooks,134 min,7.9,89,https://imdb.com/title/tt0061809/reviews,24402
Alexander,2004,Action Biography ,Oliver Stone,175 min,5.6,39,https://imdb.com/title/tt0346491/reviews,163605
War Dogs,2016,Biography Comedy Crime,Todd Phillips,114 min,7.1,57,https://imdb.com/title/tt2005151/reviews,183848
The Blind Side,2009,Biography  Sport,John Lee Hancock,129 min,7.6,53,https://imdb.com/title/tt0878804/reviews,297254
Amadeus,1984,Biography  History,Milos Forman,160 min,8.3,88,https://imdb.com/title/tt0086879/reviews,373360
Mary Queen of Scots,2018,Biography  History,Josie Rourke,124 min,6.3,60,https://imdb.com/title/tt2328900/reviews,43813
American Sniper,2014,Action Biography ,Clint Eastwood,133 min,7.3,72,https://imdb.com/title/tt2179136/reviews,445103
The Founder,2016,Biography ,John Lee Hancock,115 min,7.2,66,https://imdb.com/title/tt4276820/reviews,129902
Julius Caesar,1953,Biography  History,Joseph L. Mankiewicz,120 min,7.3,0,https://imdb.com/title/tt0045943/reviews,10568
True Story,2015,Biography Crime ,Rupert Goold,99 min,6.3,50,https://imdb.com/title/tt2273657/reviews,64774
Lone Survivor,2013,Action Biography ,Peter Berg,121 min,7.5,60,https://imdb.com/title/tt1091191/reviews,269301
A Man for All Seasons,1966,Biography  History,Fred Zinnemann,120 min,7.7,72,https://imdb.com/title/tt0060665/reviews,31894
Remember the Titans,2000,Biography  Sport,Boaz Yakin,113 min,7.8,48,https://imdb.com/title/tt0210945/reviews,200152
Public Enemies,2009,Biography Crime ,Michael Mann,140 min,7,70,https://imdb.com/title/tt1152836/reviews,284795
Legend,2015,Biography Crime ,Brian Helgeland,132 min,6.9,55,https://imdb.com/title/tt3569230/reviews,161397
The King's Speech,2010,Biography  History,Tom Hooper,118 min,8,88,https://imdb.com/title/tt1504320/reviews,645813
Erin Brockovich,2000,Biography ,Steven Soderbergh,131 min,7.4,73,https://imdb.com/title/tt0195685/reviews,177817
The Aviator,2004,Biography ,Martin Scorsese,170 min,7.5,77,https://imdb.com/title/tt0338751/reviews,338215
Steve Jobs,2015,Biography ,Danny Boyle,122 min,7.2,82,https://imdb.com/title/tt2080374/reviews,157161
Darkest Hour,2017,Biography  History,Joe Wright,125 min,7.4,75,https://imdb.com/title/tt4555426/reviews,175591
Downfall,2004,Biography  History,Oliver Hirschbiegel,156 min,8.2,82,https://imdb.com/title/tt0363163/reviews,334880
The Dirt,2019,Biography Comedy ,Jeff Tremaine,107 min,7,39,https://imdb.com/title/tt0800325/reviews,41358
Lords of Dogtown,2005,Biography  Sport,Catherine Hardwicke,107 min,7.1,56,https://imdb.com/title/tt0355702/reviews,52452
Monster,2003,Biography Crime ,Patty Jenkins,109 min,7.3,74,https://imdb.com/title/tt0340855/reviews,138228
Just Mercy,2019,Biography Crime ,Destin Daniel Cretton,137 min,7.6,68,https://imdb.com/title/tt4916630/reviews,50179
Richard Jewell,2019,Biography Crime ,Clint Eastwood,131 min,7.5,68,https://imdb.com/title/tt3513548/reviews,68066
The Theory of Everything,2014,Biography  Romance,James Marsh,123 min,7.7,72,https://imdb.com/title/tt2980516/reviews,410712
Girl Interrupted,1999,Biography ,James Mangold,127 min,7.3,51,https://imdb.com/title/tt0172493/reviews,166746
The Danish Girl,2015,Biography  Romance,Tom Hooper,119 min,7.1,66,https://imdb.com/title/tt0810819/reviews,167208
Jarhead,2005,Action Biography ,Sam Mendes,125 min,7,58,https://imdb.com/title/tt0418763/reviews,177229
Captain Phillips,2013,Adventure Biography Crime,Paul Greengrass,134 min,7.8,82,https://imdb.com/title/tt1535109/reviews,426348
Capone,2020,Biography Crime ,Josh Trank,103 min,4.7,46,https://imdb.com/title/tt6199572/reviews,16796
The Elephant Man,1980,Biography ,David Lynch,124 min,8.1,78,https://imdb.com/title/tt0080678/reviews,223117
Beautiful Boy,2018,Biography ,Felix van Groeningen,120 min,7.3,62,https://imdb.com/title/tt1226837/reviews,56838
A Beautiful Day in the Neighborhood,2019,Biography ,Marielle Heller,109 min,7.3,80,https://imdb.com/title/tt3224458/reviews,64791
Marie Antoinette,2006,Biography  History,Sofia Coppola,123 min,6.5,65,https://imdb.com/title/tt0422720/reviews,103117
The Pursuit of Happyness,2006,Biography ,Gabriele Muccino,117 min,8,64,https://imdb.com/title/tt0454921/reviews,455899
Wyatt Earp,1994,Adventure Biography Crime,Lawrence Kasdan,191 min,6.7,47,https://imdb.com/title/tt0111756/reviews,46174
Raging Bull,1980,Biography  Sport,Martin Scorsese,129 min,8.2,89,https://imdb.com/title/tt0081398/reviews,325925
Outlaw King,2018,Action Biography ,David Mackenzie,121 min,6.9,59,https://imdb.com/title/tt6679794/reviews,61913
Lawrence of Arabia,1962,Adventure Biography ,David Lean,228 min,8.3,100,https://imdb.com/title/tt0056172/reviews,271469
Lion,2016,Biography ,Garth Davis,118 min,8,69,https://imdb.com/title/tt3741834/reviews,217766
Fighting with My Family,2019,Biography Comedy ,Stephen Merchant,108 min,7.1,68,https://imdb.com/title/tt6513120/reviews,68324
Colette,2018,Biography  History,Wash Westmoreland,111 min,6.7,74,https://imdb.com/title/tt5437928/reviews,20270
In the Heart of the Sea,2015,Action Adventure Biography,Ron Howard,122 min,6.9,47,https://imdb.com/title/tt1390411/reviews,125727
The Professor and the Madman,2019,Biography ,Farhad Safinia,124 min,7.3,27,https://imdb.com/title/tt5932728/reviews,37840
Inherit the Wind,1960,Biography  History,Stanley Kramer,128 min,8.1,75,https://imdb.com/title/tt0053946/reviews,27688
Papillon,1973,Biography Crime ,Franklin J. Schaffner,151 min,8,58,https://imdb.com/title/tt0070511/reviews,122905
The Lost City of Z,2016,Biography ,James Gray,141 min,6.6,78,https://imdb.com/title/tt1212428/reviews,82033
Kon-Tiki,2012,Adventure Biography ,Joachim Rønning,118 min,7.2,62,https://imdb.com/title/tt1613750/reviews,46517
Judy,2019,Biography  Romance,Rupert Goold,118 min,6.8,66,https://imdb.com/title/tt7549996/reviews,42747
Dog Day Afternoon,1975,Biography Crime ,Sidney Lumet,125 min,8,86,https://imdb.com/title/tt0072890/reviews,238448
At Eternity's Gate,2018,Biography ,Julian Schnabel,111 min,6.9,76,https://imdb.com/title/tt6938828/reviews,29599
Butch Cassidy and the Sundance Kid,1969,Biography Crime ,George Roy Hill,110 min,8,66,https://imdb.com/title/tt0064115/reviews,203423
The Fighter,2010,Biography  Sport,David O. Russell,116 min,7.8,79,https://imdb.com/title/tt0964517/reviews,344412
Can You Ever Forgive Me?,2018,Biography Comedy Crime,Marielle Heller,106 min,7.1,87,https://imdb.com/title/tt4595882/reviews,47884
Official Secrets,2019,Biography Crime ,Gavin Hood,112 min,7.3,63,https://imdb.com/title/tt5431890/reviews,36298
The Assassination of Jesse James by the Coward Robert Ford,2007,Biography Crime ,Andrew Dominik,160 min,7.5,68,https://imdb.com/title/tt0443680/reviews,171179
Dangal,2016,Action Biography ,Nitesh Tiwari,161 min,8.4,0,https://imdb.com/title/tt5074352/reviews,160815
True History of the Kelly Gang,2019,Biography Crime ,Justin Kurzel,124 min,6,75,https://imdb.com/title/tt4844140/reviews,8483
Wild,2014,Adventure Biography ,Jean-Marc Vallée,115 min,7.1,76,https://imdb.com/title/tt2305051/reviews,122035
All the Money in the World,2017,Biography Crime ,Ridley Scott,132 min,6.8,72,https://imdb.com/title/tt5294550/reviews,77128
Walk the Line,2005,Biography  Music,James Mangold,136 min,7.8,72,https://imdb.com/title/tt0358273/reviews,236512
Jungle,2017,Action Adventure Biography,Greg McLean,115 min,6.7,48,https://imdb.com/title/tt3758172/reviews,50108
Out of Africa,1985,Biography  Romance,Sydney Pollack,161 min,7.2,69,https://imdb.com/title/tt0089755/reviews,74037
Blow,2001,Biography Crime ,Ted Demme,124 min,7.6,52,https://imdb.com/title/tt0221027/reviews,243123
The Highwaymen,2019,Biography Crime ,John Lee Hancock,132 min,6.9,58,https://imdb.com/title/tt1860242/reviews,78300
Awakenings,1990,Biography ,Penny Marshall,121 min,7.8,74,https://imdb.com/title/tt0099077/reviews,127878
Searching for Bobby Fischer,1993,Biography  Sport,Steven Zaillian,109 min,7.4,89,https://imdb.com/title/tt0108065/reviews,35291
Tolkien,2019,Biography  Romance,Dome Karukoski,112 min,6.8,48,https://imdb.com/title/tt3361792/reviews,34479
Donnie Brasco,1997,Biography Crime ,Mike Newell,127 min,7.7,76,https://imdb.com/title/tt0119008/reviews,283758
Welcome to Marwen,2018,Biography Comedy ,Robert Zemeckis,116 min,6.2,40,https://imdb.com/title/tt3289724/reviews,20837
Colonia,2015,Biography  History,Florian Gallenberger,110 min,7.1,33,https://imdb.com/title/tt4005402/reviews,48636
Glory,1989,Biography  History,Edward Zwick,122 min,7.8,78,https://imdb.com/title/tt0097441/reviews,124850
Trial by Fire,2018,Biography ,Edward Zwick,127 min,7,51,https://imdb.com/title/tt3263946/reviews,5513
Operation Finale,2018,Biography  History,Chris Weitz,122 min,6.6,58,https://imdb.com/title/tt5208252/reviews,34909
I'll Cry Tomorrow,1955,Biography  Music,Daniel Mann,117 min,7.2,0,https://imdb.com/title/tt0048191/reviews,1952
The Basketball Diaries,1995,Biography Crime ,Scott Kalvert,102 min,7.3,46,https://imdb.com/title/tt0112461/reviews,103499
127 Hours,2010,Biography ,Danny Boyle,94 min,7.5,82,https://imdb.com/title/tt1542344/reviews,351651
Hachi: A Dog's Tale,2009,Biography  Family,Lasse Hallström,93 min,8.1,0,https://imdb.com/title/tt1028532/reviews,257810
The Right Stuff,1983,Adventure Biography ,Philip Kaufman,193 min,7.8,91,https://imdb.com/title/tt0086197/reviews,56674
Funny Girl,1968,Biography Comedy ,William Wyler,151 min,7.4,89,https://imdb.com/title/tt0062994/reviews,20327
Black Mass,2015,Biography Crime ,Scott Cooper,123 min,6.9,68,https://imdb.com/title/tt1355683/reviews,169602
Bonnie and Clyde,1967,Action Biography Crime,Arthur Penn,111 min,7.8,86,https://imdb.com/title/tt0061418/reviews,103757
Harriet,2019,Action Biography ,Kasi Lemmons,125 min,6.6,66,https://imdb.com/title/tt4648786/reviews,21056
A Hidden Life,2019,Biography  Romance,Terrence Malick,174 min,7.4,78,https://imdb.com/title/tt5827916/reviews,19508
I Want to Live!,1958,Biography Crime ,Robert Wise,120 min,7.4,0,https://imdb.com/title/tt0051758/reviews,5910
Only the Brave,2017,Action Biography ,Joseph Kosinski,134 min,7.6,72,https://imdb.com/title/tt3829920/reviews,60015
Adrift,2018,Action Adventure Biography,Baltasar Kormákur,96 min,6.6,56,https://imdb.com/title/tt6306064/reviews,48978
The Other Boleyn Girl,2008,Biography  History,Justin Chadwick,115 min,6.7,50,https://imdb.com/title/tt0467200/reviews,105898
A Call to Spy,2019,Biography Crime ,Lydia Dean Pilcher,123 min,6.4,65,https://imdb.com/title/tt7698468/reviews,2844
Queen of Katwe,2016,Biography  Sport,Mira Nair,124 min,7.4,73,https://imdb.com/title/tt4341582/reviews,15992
Red Joan,2018,Biography  History,Trevor Nunn,101 min,6.4,45,https://imdb.com/title/tt7615302/reviews,10096
Spartacus,1960,Adventure Biography ,Stanley Kubrick,197 min,7.9,87,https://imdb.com/title/tt0054331/reviews,125571
Snowden,2016,Biography Crime ,Oliver Stone,134 min,7.3,58,https://imdb.com/title/tt3774114/reviews,140511
Resistance,2020,Biography  History,Jonathan Jakubowicz,120 min,6.4,53,https://imdb.com/title/tt6914122/reviews,4783
The Infiltrator,2016,Biography Crime ,Brad Furman,127 min,7,66,https://imdb.com/title/tt1355631/reviews,69749
The Zookeeper's Wife,2017,Biography  History,Niki Caro,127 min,7,57,https://imdb.com/title/tt1730768/reviews,39386
Born on the Fourth of July,1989,Biography  War,Oliver Stone,145 min,7.2,75,https://imdb.com/title/tt0096969/reviews,99379
Sully,2016,Biography ,Clint Eastwood,96 min,7.4,74,https://imdb.com/title/tt3263904/reviews,242846
Bad Education,2019,Biography Comedy Crime,Cory Finley,108 min,7.1,79,https://imdb.com/title/tt8206668/reviews,34024
I Still Believe,2020,Biography  Music,Andrew Erwin,116 min,6.5,41,https://imdb.com/title/tt9779516/reviews,9013
Coach Carter,2005,Biography  Sport,Thomas Carter,136 min,7.3,57,https://imdb.com/title/tt0393162/reviews,131099
Cleopatra,1963,Biography  History,Joseph L. Mankiewicz,192 min,7,60,https://imdb.com/title/tt0056937/reviews,29945
Girl with a Pearl Earring,2003,Biography  Romance,Peter Webber,100 min,6.9,72,https://imdb.com/title/tt0335119/reviews,73014
The Two Popes,2019,Biography Comedy ,Fernando Meirelles,125 min,7.6,75,https://imdb.com/title/tt8404614/reviews,110415
Bully,2001,Biography Crime ,Larry Clark,108 min,6.9,45,https://imdb.com/title/tt0242193/reviews,34950
Eat Pray Love,2010,Biography  Romance,Ryan Murphy,133 min,5.8,50,https://imdb.com/title/tt0879870/reviews,90482
The Current War,2017,Biography  History,Alfonso Gomez-Rejon,102 min,6.5,55,https://imdb.com/title/tt2140507/reviews,21584
On the Basis of Sex,2018,Biography ,Mimi Leder,120 min,7.1,59,https://imdb.com/title/tt4669788/reviews,29624
Selena,1997,Biography  Music,Gregory Nava,127 min,6.8,67,https://imdb.com/title/tt0120094/reviews,25854
Seberg,2019,Biography  Thriller,Benedict Andrews,102 min,5.7,54,https://imdb.com/title/tt1780967/reviews,6282
